time,user,uid,comment
16:30:30,Shahin Bhai,Unknown,22222222222
16:30:30,Riyad Matubber,Unknown,Tor maire ami
16:30:30,মুহাম্মদ সাজেদুল হক সাবির,Unknown,Tem cod
16:30:30,Shahin Bhai,Unknown,2222222222222
16:30:30,Mrbaijid Mrbaijid,Unknown,Hi
16:30:30,Ali Hossain,61581328813145,িগগকগহ
16:30:30,Asif Mia,100071313086800,দেন
16:30:30,MD Sunny,100053428033910,ভাইয়া হাই মুডটা দেন2272767926
16:30:30,Rahad Sordar Rahad Sordar,Unknown,9948241728
16:30:30,Mrbaijid Mrbaijid,Unknown,Hi vai
16:30:30,Najim Miah,Unknown,2
16:30:31,মো আহাদ শিকদার,61578219824416,Ahab
16:30:31,Abu Huraira Asad,100076600521878,5655661416
16:30:31,MD Akash Islam,Unknown,আসসালামু আলাইকুম
16:30:31,Mis Rose,Unknown,ফলো করছি ভাই
16:30:31,MD Rahim Hossen,Unknown,আমি আসছি
16:30:31,T X Nyon,Unknown,1771068593
16:30:31,Maruf Hassan,Unknown,1v1
16:30:31,Sk Vai Ak Vai,100089617237587,3
16:30:31,Cl Asan,61579001092752,ভাই আপনার গিল্ডে ডোকা যাবে
16:30:31,Sumit Barman,Unknown,Hii
